Country Code,year,avg_schooling_years,primary_enroll_gross_pct,secondary_enroll_gross_pct,tertiary_enroll_gross_pct,population_total,percent_urban,political_stability,log_gdp_pc_current_usd,join_year,treated,post_join,projects,usd_const_2021,log1p_usd_const_2021,share_amount_estimated,birth_rate_crude_per_1000
BEN,2014,,119.675392150879,52.5952682495117,14.6916198730469,11030004.0,45.2880529235999,0.027139762416482,7.094566066335708,2018.0,1,0,7.0,8748583.8344087,15.984402512043136,0.0,39.342
BEN,2015,,121.990882873535,55.1333084106445,12.4851799011231,11360681.0,45.9407403257663,-0.0204964224249125,6.911168316732961,2018.0,1,0,5.0,325710805.5457194,19.60152044914252,0.0,38.996
BEN,2016,,120.301116943359,55.2945899963379,11.9529895782471,11697842.0,46.6094559006664,-0.0087835025042295,6.91922316687114,2018.0,1,0,10.0,101109252.57379235,18.43171220872199,0.0,38.554
BEN,2017,,116.291519165039,,11.337929725647,12039780.0,47.2942774880391,0.026252493262291,6.96221891914314,2018.0,1,0,6.0,115915888.77657963,18.56837539793416,0.0,37.84
BEN,2018,,111.805068969727,,11.5739097595215,12383347.0,47.9952829275963,-0.146990418434143,7.049897837915559,2018.0,1,1,8.0,1672173.90576621,14.329635675867522,0.125,36.955
BEN,2019,,106.798400878906,,10.3906803131103,12726755.0,48.7125500590248,-0.420240253210068,7.031583431289548,2018.0,1,1,25.0,394573881.5666653,19.79331696225301,0.08,36.036
BEN,2020,,104.033172607422,43.9858703613281,10.3808002471924,13070169.0,49.4461567219896,-0.443071663379669,7.0910715621866,2018.0,1,1,18.0,1968323.5346157632,14.49269324879956,0.3333333333333333,35.331
BEN,2021,,105.631301879883,44.2737998962402,9.82796955108643,13413417.0,50.1961807561354,-0.396318674087524,7.185123026762662,2018.0,1,1,12.0,841800000.0,20.55105301548868,0.1666666666666666,34.779
BGD,2000,,,46.7210006713867,5.25165987014771,134544304.0,23.3145114975244,-0.726261258125305,5.98562435194361,2019.0,1,0,3.0,284264555.01722527,19.46541589778768,0.0,29.589
BGD,2001,4.39687,,48.4609718322754,6.17244005203247,136805810.0,23.6999214768623,,5.980546183159677,2019.0,1,0,3.0,802300992.7597259,20.50299439936169,0.0,29.174
BGD,2002,,,49.6199493408203,5.91559982299805,138933658.0,24.1132383547332,-1.03259038925171,5.978598185142959,2019.0,1,0,4.0,48316040.4551517,17.693274184707427,0.0,28.526
BGD,2003,,,49.5259017944336,5.99128007888794,140970351.0,24.5525557512625,-1.1155811548233,6.058536125027026,2019.0,1,0,0.0,0.0,0.0,0.0,27.745
BGD,2004,,,46.3084297180176,5.55667018890381,142902856.0,25.0094809886101,-1.36047637462616,6.1238384320690935,2019.0,1,0,2.0,2154031.816242663,14.582852371606869,0.0,26.994
BGD,2005,,96.386833190918,45.1695098876953,6.13484001159668,144715786.0,25.4769540701509,-1.86383938789368,6.176045738076536,2019.0,1,0,3.0,112543688.5556854,18.53885205582588,0.0,26.055
BGD,2006,,95.8766021728516,45.7007904052734,7.07040023803711,146405973.0,25.9479149992596,-1.50709736347198,6.197234093761099,2019.0,1,0,6.0,12743686.5640857,16.36054661395681,0.0,25.252
BGD,2007,,93.662353515625,46.4658813476562,7.66305017471313,147989278.0,26.415303779311,-1.54307162761688,6.289632993831535,2019.0,1,0,4.0,4191169.852082581,15.248490692500184,0.0,24.526
BGD,2008,,90.3782272338867,44.5729598999023,8.62265968322754,149474264.0,26.87206041368,-1.50833129882812,6.420095967083645,2019.0,1,0,4.0,155746607.591819,18.863740940703394,0.0,23.685
BGD,2009,,92.5936737060547,48.1255798339844,10.4939298629761,150873714.0,27.3111249057412,-1.54677140712738,6.522403746038582,2019.0,1,0,3.0,0.0,0.0,0.0,22.829
BGD,2010,,94.7762261175806,49.5031106793162,,152201981.0,27.7254372588696,-1.42578947544098,6.63119154194643,2019.0,1,0,7.0,179313317.0089303,19.0046452136135,0.0,21.874
BGD,2011,5.19887,,49.7515496494472,13.2663245348367,153591076.0,28.1100162712427,-1.40473687648773,6.7314201016445,2019.0,1,0,4.0,775144417.262479,20.468559916102468,0.0,21.114
BGD,2012,5.30234,,51.6718482971191,13.4211598649529,155070101.0,28.4787972894576,-1.37908899784088,6.757723397684732,2019.0,1,0,4.0,572300248.990639,20.165174324196705,0.0,20.709
BGD,2013,5.06477,,55.6214332189314,13.4900578063704,156532141.0,28.8407036106763,-1.62785887718201,6.866165270654643,2019.0,1,0,6.0,375784418.9289736,19.74452618567276,0.3333333333333333,20.55
BGD,2014,5.1944,,,13.5777392703559,157964929.0,29.1944442321013,-0.895563185214996,6.998931468363866,2019.0,1,0,6.0,504060458.8602835,20.038206778881257,0.0,20.298
BGD,2015,5.98583,,59.4217414855957,15.5739926180902,159383179.0,29.5395099477892,-1.20977377891541,7.111011564390648,2019.0,1,0,8.0,447876015.3362839,19.92002700282775,0.125,20.254
BGD,2016,6.11389,,64.1664546117285,17.3985207411042,160811932.0,29.8753915517965,-1.25973296165466,7.40870255730707,2019.0,1,0,10.0,2053639246.7263844,21.442879299009004,0.0,20.226
BGD,2017,6.27025,105.128820425409,62.3408639225315,18.5175604399834,162186147.0,30.2015798381799,-1.25362718105316,7.5022318590208545,2019.0,1,0,15.0,972250835.1744208,20.695124391040306,0.0666666666666666,19.991
BGD,2018,6.38588,107.18995771035,65.2714888764112,19.5710492453779,163523103.0,30.5175656009959,-0.985569059848785,7.583880264190498,2019.0,1,0,9.0,6618134977.667856,22.613079441926548,0.4444444444444444,20.069
BGD,2019,6.54998,,65.1185413488915,22.7094642473405,164913055.0,30.8228396343012,-0.928628742694855,7.664252291443168,2019.0,1,1,8.0,2546189429.212319,21.65786373738232,0.0,20.131
