Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,501.656200636394,464.828283626364,461.587303490896,404.954546941526,261.260397409459,333.145863233895,293.306575328658,265.5212823896,266.570544600384,267.995954011083,239.154133726071,237.951702544735,248.639290978403,278.403992150941,303.461321152782,311.950023138687,333.942519903031,380.887048839475,437.24827472489,456.471673898404,476.873786950728,534.057281471636,544.395849142785,364.36696260838,409.8504859647,366.322853938121,387.176203444318,432.324025684263,455.243962859534,449.228467602439,462.879071294011,492.263142830507,467.359825026238,495.978897288721,516.160999996036
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,290.599045262191,302.487268390603,290.648286132566,220.729964903293,173.928895064035,203.964852705041,216.912541056484,201.384076969355,219.779530915601,186.638531146223,163.121663683369,194.32295331156,219.061391951349,289.087621122168,445.850767157087,838.092107712557,906.897260572747,980.483531485103,1166.36883453841,1035.63719694254,1141.80069268412,1308.1421872538,1354.34344701937,1304.88742971475,1278.78981422494,993.990730610869,861.831767630746,854.46120040098,948.656629871231,893.336441643325,866.947814890409,946.358500208374,966.036468278568,949.333453674592,961.55975562506
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,40472.6653548172,42443.7199726991,43479.1940767689,41873.7406146127,44459.7318188977,48570.7796632166,56259.5344226334,57647.1188908006,62745.1006593557,74139.97799443,..,57778.5407063052,56123.4597963451,60415.2632075658,58809.5698945413,59308.4666588674,64697.5485024325,61847.8212238857,55947.579811974,55806.3554257428,60784.8125397162,60564.6293993681,56785.9402005039,66915.3963925722,67627.1417347907,74585.5224096294,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,2487.76829657299,2798.34262413795,3351.84108855522,3540.91377313015,4012.10159912285,5081.4682771561,5333.50438729711,5741.95842989596,5419.82417297191,4933.55581516755,5052.99245766325,4563.5952986689,4430.84741157984,4773.40177520754,6120.59152055344,7480.32330998636,9318.65655296121,10346.4138184533,10683.2188772511,10098.8017167286,12632.8704724192,14487.3927832032,15241.9069981119,15683.5486369155,14529.6767206336,13433.9202987032,13649.8520452803,14879.9086227187,15659.4808675628,14495.716721687,13114.815470545,16206.8325493421,15405.6165774073,17067.0364799154,16709.8893972307
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,318.50335359039,334.130288119078,367.822651903542,378.939353053314,475.677874448369,612.680277898627,713.337387811657,786.743548510999,835.095348597432,881.146614068925,969.199513696287,1065.40597574519,1163.55957673426,1306.97245408557,1530.92726215723,1777.64496828464,2129.25696999613,2734.72709877693,3523.44302065213,3898.24459158811,4629.24551710077,5703.76027973346,6405.0574241349,7147.03518622344,7781.06597484974,8175.33285077393,8254.86859320357,8979.67652709856,10085.6638148819,10342.9009524335,10627.4637989619,12887.4357242941,12970.6056414327,12951.1782397043,13303.1481543868
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,1474.8455285342,1485.73971889208,1730.39091795329,1929.26721811738,2325.91872973374,2583.66576349858,2664.64056059983,2873.2814350993,2604.87166959518,2241.22911801216,2555.00751039968,2472.99084035833,2428.92969771584,2311.94218760291,2818.57195413044,3456.06610874512,3789.85361217027,4769.926147194,5541.83629665898,5250.97292433518,6398.2958447102,7400.9940695669,8108.59838244229,8279.10255642981,8187.20824890084,6248.51490534512,5959.84250367574,6479.53231292429,6816.96818309544,6472.54544924705,5339.68711357943,6222.62164397614,6680.44506854481,7000.83660501046,7919.20886825345
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,903.20430581841,879.348889291867,938.595399659213,903.033729112507,652.898017688557,800.623567802959,786.380773511866,714.519968676115,704.479817408486,707.228776682623,633.309032776244,681.163857619963,764.61349832543,959.691049354812,1072.28409029621,1105.78796866788,1138.47908404345,1289.73631056361,1455.02768595586,1410.30516959473,1386.5742428453,1531.43789372951,1490.31511351281,1603.32797107303,1615.71723662012,1329.37048235986,1365.48403444497,1423.9248027797,1527.40527125285,1510.23218151592,1519.34665556206,1554.97289190153,1465.479642862,1560.27378476855,1662.75663312504
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,254.872656292509,253.79642770809,209.726548794417,263.335582841074,136.542547670676,127.008078734668,127.416132828292,132.323520768553,131.461338858019,96.3192243479286,377.925421481395,142.678142604412,162.38052907429,161.491553524396,180.664764963633,214.539740473519,255.445229568751,294.101615124419,352.900363371995,280.178991035792,352.400398754692,372.514273875789,409.931424783784,460.370334930107,489.175952097319,495.826633014883,459.765036590388,431.052559128788,518.169626875371,504.00419142286,486.425572682256,595.743074403567,687.738587554685,660.21205238997,649.383338556725
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,1175.66709098428,1112.53521242945,1164.22442980292,1034.37200809816,661.904273689712,769.606794842829,898.794050151577,804.304050086499,660.379775085784,776.416349733937,1024.30159109181,854.598314408095,905.538135544704,1016.82363412143,1306.10136324599,1799.05158366154,2103.5821381211,2206.47101863414,2832.09177777643,2271.15219175966,2946.55798067708,3396.16505817952,3732.32737320389,3697.41705884249,3601.2365808718,2439.35189403696,2093.10728558843,2211.63309874797,2694.43413191427,2488.42466724916,1993.586671931,2516.16255145432,2620.83804267402,2477.97845544866,2482.2489948456
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,1829.6687089559,2253.38191508071,2612.38756453737,2840.38706479397,3039.56328550633,3275.25256447416,3226.96395598625,3407.776128985,3617.45756666726,3690.96154778297,3812.75388284924,3985.12984506207,4067.71851429092,4173.14856415514,4431.0117207843,4703.00721784778,5256.59640859159,6137.71199925542,6937.24261596055,6832.69829924138,8265.78820275582,9276.39107511347,10126.9991024177,10803.2401962173,10911.497878334,11714.7105980732,12091.0301606154,12317.0902771304,12590.2493781614,12884.6859951989,12394.0493969492,12838.1185358931,13625.9008491328,16942.0268119375,18587.1532203482
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,885.647842214928,827.241889166985,844.902223806738,804.149657211252,581.888468577405,740.4730999133,1170.23622049666,1124.65674867927,1177.37133815342,1096.13520587572,936.636541348798,924.727294962066,967.815864415991,1111.17135087887,1199.82524528546,1197.74616979415,1230.43056838584,1367.53817722326,1583.97066701372,1540.45393569596,1553.54887048143,1596.62826565998,1546.9460184731,1786.15862031324,1991.36539423404,1814.71855088017,1862.59597081287,1964.29930338343,2130.86619381144,2141.76836170115,2179.72934832935,2455.98127641148,2333.37128301259,2591.9659048119,2727.8935220697
