Country Code,year,projects_total,projects_with_amount,usd_const_2021_sum,share_amount_estimated,amount_coverage,log1p_usd_const_2021,cumulative_inv,treat_year,treat_500m,post_500m,rel_time
MLI,2013,9,4,408020285.6299286,0.0,0.4444444444444444,19.82682745326451,1293732622.717886,2008.0,1,1,5.0
MLI,2014,8,5,224112923.9311853,0.0,0.625,19.22766061194598,1517845546.6490712,2008.0,1,1,6.0
MLI,2015,8,2,15382472.55972003,0.0,0.25,16.548739338740766,1533228019.2087913,2008.0,1,1,7.0
MLI,2016,4,1,7107856.06845641,0.0,0.25,15.776711359508694,1540335875.2772477,2008.0,1,1,8.0
MLI,2017,14,4,76800643.00129697,0.0,0.2857142857142857,18.156723583516296,1617136518.2785447,2008.0,1,1,9.0
MLI,2018,6,2,188040520.77801085,0.0,0.3333333333333333,19.05216803894092,1805177039.0565555,2008.0,1,1,10.0
MLI,2019,6,0,,0.0,0.0,0.0,,2008.0,1,1,11.0
MLI,2020,7,1,58633.9426253384,0.1428571428571428,0.1428571428571428,10.979086088389328,1805235672.9991808,2008.0,1,1,12.0
MLI,2021,8,3,15434419.447099345,0.25,0.375,16.55211066724451,1820670092.4462802,2008.0,1,1,13.0
MMR,2000,11,10,909384831.1257732,0.0,0.9090909090909092,20.62827892022529,909384831.1257732,2000.0,1,1,0.0
MMR,2001,3,3,268568863.3685717,0.0,1.0,19.40861791712355,1177953694.494345,2000.0,1,1,1.0
MMR,2002,4,2,30197525.28446987,0.0,0.5,17.22327056787993,1208151219.7788148,2000.0,1,1,2.0
MMR,2003,10,6,638836277.4885445,0.0,0.6,20.27515876431519,1846987497.2673593,2000.0,1,1,3.0
MMR,2004,21,17,372462499.6211708,0.0,0.8095238095238095,19.73564692124301,2219449996.8885303,2000.0,1,1,4.0
MMR,2005,14,8,151963374.60397398,0.0,0.5714285714285714,18.839150099803582,2371413371.492504,2000.0,1,1,5.0
MMR,2006,11,8,952901049.7664788,0.0909090909090909,0.7272727272727273,20.67502162702164,3324314421.2589827,2000.0,1,1,6.0
MMR,2007,8,6,1608299353.89095,0.25,0.75,21.19844315635341,4932613775.149933,2000.0,1,1,7.0
MMR,2008,14,9,24714467.364633065,0.0,0.6428571428571429,17.022899393855912,4957328242.514565,2000.0,1,1,8.0
MMR,2009,5,4,487324427.5147274,0.0,0.8,20.004440636897343,5444652670.029293,2000.0,1,1,9.0
MMR,2010,11,8,5606721563.632432,0.1818181818181818,0.7272727272727273,22.44723199432673,11051374233.661724,2000.0,1,1,10.0
MMR,2011,14,12,429786872.6125114,0.1428571428571428,0.8571428571428571,19.878800001018806,11481161106.274237,2000.0,1,1,11.0
MMR,2012,17,15,708244202.849237,0.0588235294117647,0.8823529411764706,20.37829951287754,12189405309.123474,2000.0,1,1,12.0
MMR,2013,12,7,349939499.22032964,0.0,0.5833333333333334,19.67327084099298,12539344808.343803,2000.0,1,1,13.0
MMR,2014,14,10,489364538.4503132,0.0,0.7142857142857143,20.00861824915585,13028709346.794117,2000.0,1,1,14.0
MMR,2015,18,12,209601661.4723193,0.0,0.6666666666666666,19.16071944202245,13238311008.266436,2000.0,1,1,15.0
MMR,2016,24,15,162938343.44704658,0.0,0.625,18.908882432288504,13401249351.713482,2000.0,1,1,16.0
MMR,2017,35,20,453404770.9599806,0.0,0.5714285714285714,19.932295820816854,13854654122.673462,2000.0,1,1,17.0
MMR,2018,45,18,179226862.435619,0.0,0.4,19.004162954834925,14033880985.109081,2000.0,1,1,18.0
MMR,2019,34,12,126906045.70884211,0.0,0.3529411764705882,18.65895758094928,14160787030.817924,2000.0,1,1,19.0
MMR,2020,81,43,82014193.78987461,0.2469135802469135,0.5308641975308642,18.2224028974408,14242801224.607798,2000.0,1,1,20.0
MMR,2021,38,23,291769570.3616901,0.3421052631578947,0.6052631578947368,19.49147490952604,14534570794.969488,2000.0,1,1,21.0
MNE,2010,3,1,66009685.8489986,0.0,0.3333333333333333,18.005312059660344,66009685.8489986,2014.0,1,0,-4.0
MNE,2011,1,0,,0.0,0.0,0.0,,2014.0,1,0,-3.0
MNE,2013,4,3,55918361.27184042,0.0,0.75,17.839403368476702,121928047.12083903,2014.0,1,0,-1.0
MNE,2014,3,1,1045088488.14014,0.0,0.3333333333333333,20.76736739738116,1167016535.2609792,2014.0,1,1,0.0
MNE,2015,2,2,1785539.414072407,0.0,1.0,14.39523168035718,1168802074.6750515,2014.0,1,1,1.0
MNE,2016,1,1,4701387.92218187,0.0,1.0,15.363368538382067,1173503462.5972333,2014.0,1,1,2.0
MNE,2017,4,2,3557025.9794251737,0.0,0.5,15.084435635783798,1177060488.5766585,2014.0,1,1,3.0
MNE,2018,6,4,69798445.52045791,0.0,0.6666666666666666,18.06112231133103,1246858934.0971165,2014.0,1,1,4.0
MNE,2019,2,0,,0.0,0.0,0.0,,2014.0,1,1,5.0
MNE,2020,1,0,,0.0,0.0,0.0,,2014.0,1,1,6.0
MNE,2021,2,1,540000.0,0.5,0.5,13.199326270390594,1247398934.0971165,2014.0,1,1,7.0
MNG,2000,3,2,108505250.2534178,0.0,0.6666666666666666,18.502309128422624,108505250.2534178,2009.0,1,0,-9.0
MNG,2001,2,2,78179374.7095841,0.0,1.0,18.174516433001525,186684624.9630019,2009.0,1,0,-8.0
MNG,2002,5,3,18764292.11599431,0.0,0.6,16.747466319497686,205448917.0789962,2009.0,1,0,-7.0
MNG,2003,3,3,12660095.86900367,0.0,1.0,16.3539656262311,218109012.9479999,2009.0,1,0,-6.0
MNG,2005,2,1,86809.3339845659,0.0,0.5,11.37148094868367,218195822.28198445,2009.0,1,0,-4.0
MNG,2006,4,4,75542601.36073479,0.0,1.0,18.140207324757583,293738423.64271927,2009.0,1,0,-3.0
MNG,2007,3,2,12287947.09547871,0.0,0.6666666666666666,16.324129510359914,306026370.7381979,2009.0,1,0,-2.0
MNG,2008,2,1,19128228.0047374,0.0,0.5,16.766675760274552,325154598.74293536,2009.0,1,0,-1.0
MNG,2009,3,2,809286270.3682426,0.0,0.6666666666666666,20.51166327073406,1134440869.111178,2009.0,1,1,0.0
MNG,2010,11,7,237169170.45523304,0.0,0.6363636363636364,19.284284248071355,1371610039.566411,2009.0,1,1,1.0
MNG,2011,6,6,828150111.6176015,0.0,1.0,20.53470499134939,2199760151.1840124,2009.0,1,1,2.0
MNG,2012,1,1,390839194.43589085,0.0,1.0,19.783806768487207,2590599345.6199036,2009.0,1,1,3.0
MNG,2013,5,2,801111024.3934084,0.0,0.4,20.50151010390853,3391710370.013312,2009.0,1,1,4.0
MNG,2014,17,15,1022409533.046188,0.1764705882352941,0.8823529411764706,20.74542796670661,4414119903.0595,2009.0,1,1,5.0
MNG,2015,19,16,854637987.9187626,0.0,0.8421052631578947,20.566188532466548,5268757890.978262,2009.0,1,1,6.0
MNG,2016,26,21,741428986.9431025,0.0,0.8076923076923077,20.424089946841708,6010186877.921365,2009.0,1,1,7.0
MNG,2017,17,9,174045046.03915724,0.0,0.5294117647058824,18.974824714701946,6184231923.960522,2009.0,1,1,8.0
MNG,2018,26,13,383802535.4976751,0.0,0.5,19.76563875042087,6568034459.458198,2009.0,1,1,9.0
MNG,2019,19,10,184113141.8797773,0.0,0.5263157894736842,19.03106103355076,6752147601.337975,2009.0,1,1,10.0
MNG,2020,27,22,379700621.4158169,0.2592592592592592,0.8148148148148148,19.754893664431176,7131848222.753792,2009.0,1,1,11.0
MNG,2021,7,3,7200000.0,0.2857142857142857,0.4285714285714285,15.789591722875162,7139048222.753792,2009.0,1,1,12.0
MOZ,2000,5,5,20038115.81156836,0.0,1.0,16.813146858286718,20038115.81156836,2009.0,1,0,-9.0
MOZ,2001,3,3,116529361.35633828,0.0,1.0,18.5736538366074,136567477.16790664,2009.0,1,0,-8.0
MOZ,2002,3,2,13796991.059060138,0.0,0.6666666666666666,16.43996115963446,150364468.22696677,2009.0,1,0,-7.0
MOZ,2003,2,1,1218031.87018926,0.0,0.5,14.012747713906933,151582500.09715605,2009.0,1,0,-6.0
MOZ,2004,2,0,,0.0,0.0,0.0,,2009.0,1,0,-5.0
MOZ,2005,3,3,17144843.46195176,0.0,1.0,16.657208071919182,168727343.5591078,2009.0,1,0,-4.0
MOZ,2006,2,1,40638.981705134,0.0,0.5,10.612507632083314,168767982.54081294,2009.0,1,0,-3.0
MOZ,2007,6,4,201372286.69353023,0.0,0.6666666666666666,19.120665930437276,370140269.2343432,2009.0,1,0,-2.0
MOZ,2008,5,2,103264164.6321528,0.0,0.4,18.45280097780055,473404433.86649597,2009.0,1,0,-1.0
