Country Code,year,projects,usd_const_2021,share_amount_estimated,log1p_usd_const_2021
OMN,2021,2,1800000.0,0.5,14.403297778421795
PAK,2000,9,1305334413.3139222,0.0,20.989725101072313
PAK,2001,10,256688024.5685818,0.0,19.36337199718256
PAK,2002,4,582940646.052726,0.0,20.18359593304766
PAK,2003,7,854665567.4333937,0.0,20.56622080235157
PAK,2004,2,341761700.88908935,0.0,19.64962427406212
PAK,2005,21,629957800.5444564,0.0,20.261163393431012
PAK,2006,11,80962064.64422873,0.0,18.20949127755824
PAK,2007,7,15805426.33086693,0.0,16.57586394096751
PAK,2008,7,1742894254.621594,0.0,21.278812933612702
PAK,2009,14,2837884180.922232,0.0,21.766324605098962
PAK,2010,37,2622824009.42851,0.0,21.68751744081409
PAK,2011,15,1676559217.994628,0.06666666666666667,21.240009446237845
PAK,2012,4,1529821750.117721,0.0,21.148417063026372
PAK,2013,12,1478726333.085836,0.0,21.11444696912937
PAK,2014,11,1580682847.8788338,0.0,21.18112277345589
PAK,2015,37,12351319749.755283,0.24324324324324326,23.237028756720353
PAK,2016,22,6758210592.030014,0.0,22.63402398678761
PAK,2017,39,14032719468.512672,0.3076923076923077,23.36465754474474
PAK,2018,32,3814057854.383141,0.03125,22.061959513223837
PAK,2019,32,5374323485.940561,0.0625,22.40489854014396
PAK,2020,67,6300102712.349154,0.2835820895522388,22.563831773917208
PAK,2021,33,4129965019.231181,0.3333333333333333,22.141534774205805
PAN,2002,1,38186116.5584446,1.0,17.457982592825275
PAN,2010,1,0.0,0.0,0.0
PAN,2011,3,84369780.4400116,0.0,18.25071985564434
PAN,2013,1,66663237.713797,0.0,18.015164215229138
PAN,2014,2,38748333.099297,0.0,17.472598321853607
PAN,2015,1,56113778.4789476,0.0,17.842891963843062
PAN,2016,2,0.0,0.0,0.0
PAN,2017,2,0.0,0.0,0.0
PAN,2018,4,158959842.6899706,0.0,18.88416217287803
PAN,2019,10,224712922.452427,0.0,19.23033424975369
PAN,2020,38,1933262.6200092873,0.5,14.474720127582525
PAN,2021,2,0.0,0.0,0.0
PER,2000,1,0.0,0.0,0.0
PER,2001,1,125726.888370665,0.0,11.74187523449403
PER,2002,3,3019752.52844699,0.0,14.920685772923498
PER,2003,2,2923276.48845424,0.0,14.888215972346446
PER,2004,2,0.0,0.0,0.0
PER,2006,1,0.0,0.0,0.0
PER,2007,3,13786682.039488629,0.0,16.43921368707943
PER,2008,8,5996846.448662242,0.0,15.606744463885166
PER,2009,3,76952.8051897557,0.0,11.250960588203675
PER,2010,7,2789189552.7048464,0.0,21.749016908038392
PER,2011,7,223852138.1504243,0.0,19.226496298783495
PER,2012,5,152459610.18121824,0.0,18.842410274220864
PER,2013,7,500310505.96840554,0.0,20.030739477573917
PER,2014,15,7968320964.704761,0.0,22.798739638257874
PER,2015,5,174162576.78199342,0.0,18.975499776009748
PER,2016,7,49833839.08911018,0.0,17.724204831087444
PER,2017,13,606096049.0606973,0.0,20.222549029924032
PER,2018,4,1291166.79330682,0.0,14.071057632960914
PER,2019,6,1029934227.1579161,0.0,20.7527607809917
PER,2020,23,3163004171.78467,0.391304347826087,21.874788100518078
PER,2021,17,372467666.59360826,0.47058823529411764,19.73566079361027
PHL,2000,1,17965197.1015669,0.0,16.703947005553115
PHL,2001,1,87960080.0593822,0.0,18.29239364519864
PHL,2003,5,276297793.16626376,0.4,19.436989806388247
PHL,2004,9,555382693.4008362,0.0,20.13516797354857
PHL,2005,3,65649558.825827934,0.0,17.99984145382888
PHL,2006,10,203516577.75758296,0.3,19.13125802762481
PHL,2007,7,437883700.4521955,0.0,19.897463911284927
PHL,2009,6,209019718.31791937,0.0,19.15793915628177
PHL,2010,3,930689774.8458364,0.0,20.65143656365006
PHL,2011,1,1918613.08289239,0.0,14.467113651531054
