Country Code,year,primary_enroll_gross_pct,secondary_enroll_gross_pct,birth_rate_crude_per_1000,usd_const_2021
BEN,2013,119.383087158203,52.0378494262695,39.582,256968707.52322933
BEN,2014,119.675392150879,52.5952682495117,39.342,8748583.8344087
BEN,2015,121.990882873535,55.1333084106445,38.996,325710805.5457194
BEN,2016,120.301116943359,55.2945899963379,38.554,101109252.57379235
BEN,2017,116.291519165039,,37.84,115915888.77657963
BEN,2018,111.805068969727,,36.955,1672173.90576621
BEN,2019,106.798400878906,,36.036,394573881.5666653
BEN,2020,104.033172607422,43.9858703613281,35.331,1968323.5346157632
BEN,2021,105.631301879883,44.2737998962402,34.779,841800000.0
BGD,2000,,46.7210006713867,29.589,284264555.01722527
BGD,2001,,48.4609718322754,29.174,802300992.7597259
BGD,2002,,49.6199493408203,28.526,48316040.4551517
BGD,2003,,49.5259017944336,27.745,0.0
BGD,2004,,46.3084297180176,26.994,2154031.816242663
BGD,2005,96.386833190918,45.1695098876953,26.055,112543688.5556854
BGD,2006,95.8766021728516,45.7007904052734,25.252,12743686.5640857
BGD,2007,93.662353515625,46.4658813476562,24.526,4191169.852082581
BGD,2008,90.3782272338867,44.5729598999023,23.685,155746607.591819
BGD,2009,92.5936737060547,48.1255798339844,22.829,0.0
BGD,2010,94.7762261175806,49.5031106793162,21.874,179313317.0089303
BGD,2011,,49.7515496494472,21.114,775144417.262479
BGD,2012,,51.6718482971191,20.709,572300248.990639
BGD,2013,,55.6214332189314,20.55,375784418.9289736
BGD,2014,,,20.298,504060458.8602835
BGD,2015,,59.4217414855957,20.254,447876015.3362839
BGD,2016,,64.1664546117285,20.226,2053639246.7263844
BGD,2017,105.128820425409,62.3408639225315,19.991,972250835.1744208
BGD,2018,107.18995771035,65.2714888764112,20.069,6618134977.667856
BGD,2019,,65.1185413488915,20.131,2546189429.212319
BGD,2020,110.066619873047,66.4329548486639,20.289,2743887279.515847
BGD,2021,106.334849059692,66.8282318620991,20.414,1580353701.5503876
ETH,2000,52.2387313842773,14.451319694519,45.59,575294.3459038662
ETH,2001,57.1306991577148,17.3430194854736,44.987,347157084.1690813
ETH,2002,59.6043586730957,19.1939201354981,44.264,5079180.26550298
ETH,2003,60.7021408081055,19.5667705535889,43.334,35124692.93057393
ETH,2004,63.5657081604004,21.47705078125,42.712,0.0
ETH,2005,74.5096893310547,23.8548793792725,42.104,902599.570179658
ETH,2006,79.2329330444336,27.4775695800781,41.086,93662013.89336573
ETH,2007,85.4697265625,30.251350402832,40.054,2966559426.1732187
ETH,2008,91.4530181884766,31.3109302520752,38.886,363344626.3889408
ETH,2009,90.3419418334961,31.649019241333,37.538,737680927.5530388
ETH,2010,88.511037030714,33.0478591918945,36.571,1917689053.138001
ETH,2011,90.6282577514648,34.4468994140625,35.671,1348991576.315393
ETH,2012,89.9253221073517,36.2193489074707,34.563,238717343.2920664
ETH,2013,,,33.644,5872508463.202027
ETH,2014,93.1145890062913,,33.408,1271279065.877024
ETH,2015,94.0857534729235,33.9114221981431,33.331,832856954.2540209
ETH,2016,,,33.329,982765617.9904023
ETH,2017,101.223991472845,,33.222,993719543.6472071
ETH,2018,,,33.394,3221566833.584777
ETH,2019,,,33.549,61253079.00004293
ETH,2020,112.6701710274,,33.31,15259963.517482707
ETH,2021,101.338920969252,,32.876,69302799.99097422
KHM,2000,102.792739868164,18.1284408569336,28.466,91777090.26860954
KHM,2001,110.342948913574,20.176570892334,28.11,28205127.639950942
KHM,2002,123.66854095459,23.8959407806396,27.528,338925195.87015617
KHM,2003,126.512390136719,27.8392200469971,26.88,14764407.97159817
KHM,2004,129.020355224609,30.9775104522705,26.261,7041125.214140724
KHM,2005,129.551315307617,,26.104,82062748.92320292
KHM,2006,128.404861450195,39.1435394287109,26.127,64972305.96685968
KHM,2007,127.717086791992,41.7365608215332,26.209,835023218.2291211
KHM,2008,124.066017150879,44.2504997253418,25.88,166073144.47790998
KHM,2009,123.781600952148,,25.625,776936447.4587222
KHM,2010,123.357803344727,,25.036,2942319015.783209
KHM,2011,118.762440557356,,24.631,258924055.76469907
KHM,2012,115.41843697639,,24.578,1624920362.2715812
KHM,2013,115.808136523857,,24.56,1214098047.3855886
KHM,2014,108.942219609284,,24.403,748567450.7585998
KHM,2015,103.759672683505,,24.218,544177651.1610305
KHM,2016,101.734266788056,,23.956,934659646.58862
KHM,2017,100.69503505776,48.9424458707368,23.655,579451452.4884306
KHM,2018,99.6739108443274,50.199099715459,23.372,1967414977.141764
KHM,2019,100.480819545412,49.7344518908574,22.988,2270460260.136928
KHM,2020,107.021018981934,51.8196983337402,22.409,1336760792.0176592
KHM,2021,105.282475574163,54.2809323078227,21.905,901459466.4
LAO,2000,105.722198486328,33.2670707702637,32.901,91829192.75657126
LAO,2001,103.310859680176,35.1896514892578,32.112,75436133.0223992
LAO,2002,105.233688354492,37.9458808898926,31.18,304254215.3827408
LAO,2003,107.481590270996,40.6808013916016,30.66,80829447.62872651
LAO,2004,108.649421691895,42.5078582763672,30.075,986577817.800692
LAO,2005,110.026527404785,42.9863014221191,28.788,72087857.71989392
LAO,2006,110.817306518555,42.2330513000488,28.365,138844083.2166166
LAO,2007,112.471809387207,43.0343399047852,28.124,47031523.10183776
LAO,2008,114.984016418457,44.126880645752,27.882,506426631.6309291
LAO,2009,117.407089233398,45.6930198669434,27.569,655864412.5257491
LAO,2010,119.705680847168,47.3594398498535,27.195,525969018.6820723
LAO,2011,119.074599302583,46.3030907447649,26.777,687409293.8959632
LAO,2012,118.414315740965,49.0350189208984,26.174,749123892.8822466
LAO,2013,118.408152699995,52.6759359354755,25.623,967877029.7738196
LAO,2014,117.425464096562,58.0247383117676,25.049,2635665667.066824
LAO,2015,114.302879123065,62.2967936554274,24.962,1564442717.9506788
LAO,2016,110.502812681423,64.7630026961054,24.567,4589788738.444315
LAO,2017,107.444972491228,66.0411073482017,24.117,1150066697.1921256
LAO,2018,104.275413158198,66.1528570578416,23.599,547480062.6091517
LAO,2019,101.978544594664,64.986385458831,23.151,4350240720.652793
LAO,2020,100.27766790602,62.4493058083911,22.618,415056178.7778498
LAO,2021,99.1101994809825,59.8530595325837,22.147,125775571.50492992
MOZ,2000,73.2299194335938,5.94095993041992,43.583,20038115.81156836
MOZ,2001,79.6124725341797,6.66658020019531,43.073,116529361.35633828
MOZ,2002,83.0477981567383,8.2307596206665,42.473,13796991.059060138
MOZ,2003,,,41.971,1218031.87018926
MOZ,2004,93.0763931274414,10.5598001480103,41.638,0.0
MOZ,2005,100.058006286621,12.95458984375,41.356,17144843.46195176
MOZ,2006,102.737716674805,15.2163000106812,41.117,40638.981705134
MOZ,2007,109.321502685547,17.9137401580811,41.268,201372286.69353023
MOZ,2008,114.194580078125,20.1720008850098,42.277,103264164.6321528
MOZ,2009,115.103843688965,22.9890193939209,42.908,172055251.02987742
MOZ,2010,116.867207366317,25.1208838457009,42.806,120518141.39222568
MOZ,2011,113.599054478212,26.0157578808472,42.454,105049153.16689758
