Country Code,year,primary_net_female,primary_net_male,primary_net_pct,secondary_net_female,secondary_net_male,secondary_net_pct,tertiary_gross_female,tertiary_gross_male,tertiary_gross_pct,secondary_gender_gap,tertiary_gender_gap
SMR,2022,,,,,,,48.7603305785124,58.3244962884411,53.7988826815642,,-9.564165709928695
SMR,2023,,,,,,,48.187134502924,53.7894736842105,51.1357340720222,,-5.602339181286496
SRB,2001,,,,,,,41.4383316040039,34.2301483154297,37.7618789672852,,7.208183288574197
SRB,2002,,,,,,,39.5849609375,31.8977603912354,35.6637191772461,,7.687200546264599
SRB,2003,,,,,,,44.9803009033203,34.4609794616699,39.6133613586426,,10.519321441650398
SRB,2004,,,,,,,46.6507911682129,35.4361686706543,40.9337997436523,,11.2146224975586
SRB,2005,,,99.70359,,,,50.0615310668945,38.569019317627,44.205249786377,,11.4925117492675
SRB,2006,99.8896,99.83674,99.86248,,,,52.845760345459,41.0247001647949,46.819580078125,,11.821060180664098
SRB,2007,98.28937,98.39731,98.34468,,,,54.1513710021973,42.0302696228027,47.966869354248,,12.121101379394602
SRB,2008,96.85799,97.12561,96.99485,90.75612,88.47661,89.58781,55.1367607116699,42.4747581481934,48.6653785705566,2.279510000000002,12.662002563476499
SRB,2009,93.66779,94.75433,94.22315,91.41561,89.12429,90.24074,56.3833198547363,43.6125297546387,49.8496704101562,2.291319999999999,12.7707901000976
SRB,2010,92.48981,92.99222,92.74722,91.05135,89.32344,90.16584,55.6272888183594,42.8422813415527,49.0825119018555,1.7279099999999943,12.785007476806705
SRB,2011,95.82158,95.59387,95.70457,93.57634,91.45965,92.48608,58.8433494567871,44.6882095336914,51.5937690734863,2.1166900000000055,14.155139923095703
SRB,2012,94.52617,94.34073,94.43076,94.2485,91.55766,92.86209,61.1669082641602,46.1959915161133,53.5000305175781,2.6908400000000086,14.970916748046896
SRB,2013,95.0242,94.57856,94.79516,94.31706,91.81572,93.02904,64.5401077270508,48.6101303100586,56.3808784484863,2.501339999999999,15.929977416992195
SRB,2014,96.42208,96.07103,96.24177,93.22811,91.24093,92.20523,66.0110473632812,50.5050506591797,58.0549697875977,1.987179999999995,15.505996704101491
