Country Code,year,primary_enroll_gross_pct,secondary_enroll_gross_pct,tertiary_enroll_gross_pct,log_gdp_pc_current_usd,population_total,percent_urban,birth_rate_crude_per_1000,female_emp_ratio,industry_emp_pct,unemployment_pct,youth_emp_ratio,youth_unemp_pct,gdp_growth,gni_per_capita,poverty_3day
CYM,2008,102.496566772461,94.58740234375,33.0195503234863,11.403725572299715,51151.0,100.0,14.915,,,,,,-0.357401372925935,,
CYM,2011,103.911342894394,92.3470839260313,,11.228982550080925,55606.0,100.0,14.099,,,,,,1.16906269526342,73950.0,
CYM,2012,103.277848911652,89.14686825054,,11.226597018464307,57136.0,100.0,13.072,,,,,,1.22975368307725,51150.0,
CYM,2013,98.6759930052461,88.6417168280555,,11.226758700236674,58655.0,100.0,12.215,,,,,,1.2793305928175,44990.0,
CYM,2018,92.0753908759906,89.0140845070423,,11.336970248430715,65941.0,100.0,10.584,,,,,,4.26726567162505,57880.0,
CYM,2019,94.3210930828352,88.1225128173828,,11.387977588329882,67327.0,100.0,12.435,,,,,,3.91563637725301,64520.0,
CYM,2020,97.6523799267715,84.0909118652344,,11.318597694098793,68684.0,100.0,12.716,,,,,,-4.95480732200573,62420.0,
CYM,2021,95.4784899034241,85.4616444648599,,11.36731773059228,70108.0,100.0,12.581,,,,,,4.86941655353661,76260.0,
CYM,2022,98.3856700574967,85.6012268066406,,11.440684880490734,71591.0,100.0,,,,,,,5.77566708028824,74060.0,
CYM,2023,101.441241685144,86.0370923044127,,11.504323756362687,73038.0,100.0,,,,,,,5.8155918263088,75720.0,
CYP,2000,96.7313537597656,93.3721389770508,19.5623207092285,9.57417430681326,947667.0,68.7726966799379,12.493,45.605,23.7698432381236,4.766,37.026,8.904,5.96530445494226,14180.0,
CYP,2001,96.6496124267578,93.4450607299805,21.6125202178955,9.603830682108951,964127.0,68.8024068077544,12.045,48.799,23.6947011727333,4.043,39.174,7.976,3.95256258200938,14170.0,
CYP,2002,97.7734527587891,96.9152069091797,25.1022891998291,9.686153084547716,981440.0,68.7863589370716,11.611,50.088,23.1816034567195,3.336,36.959,7.449,3.72297491128981,14510.0,
CYP,2003,97.3882293701172,97.5562286376953,31.9552307128906,9.916020984593592,999590.0,68.7120973207373,11.751,51.252,22.875202566046,4.153,37.801,8.611,2.62329962315329,16710.0,
CYP,2004,97.1988677978516,96.2935333251953,36.0204582214355,10.077130691420564,1017875.0,68.5908141437316,11.894,50.239,23.9910364467261,4.77,37.922,10.213,5.02627226665527,20260.0,0.1
