Country Code,year,primary_enroll_gross_pct,secondary_enroll_gross_pct,tertiary_enroll_gross_pct,log_gdp_pc_current_usd,population_total,percent_urban,birth_rate_crude_per_1000,female_emp_ratio,industry_emp_pct,unemployment_pct,youth_emp_ratio,youth_unemp_pct,gdp_growth,gni_per_capita,poverty_3day,primary_net_female,primary_net_male,primary_net_pct,secondary_net_female,secondary_net_male,secondary_net_pct,tertiary_gross_female_x,tertiary_gross_male_x,tertiary_gross_pct,secondary_gender_gap,tertiary_gender_gap,primary_gross_female,primary_gross_male,secondary_gross_female,secondary_gross_male,tertiary_gross_female_y,tertiary_gross_male_y,secondary_gender_gap_gross,primary_gender_gap_gross,tertiary_gender_gap_gross,Region,IncomeGroup,treat_year,treat_year_250m,treat_year_1b,treat_year_edu,treat_500m,post_500m,rel_time,treat_edu,post_edu,rel_time_edu,log1p_usd_const_2023,log1p_Education,log1p_Transport,log1p_Energy,log1p_Health,log1p_Industry,avg_years_schooling
LSO,2012,115.307928873959,59.0772018432617,10.8528418132462,7.104908560189874,2034354.0,29.8970340055453,30.027,47.712,30.4107148093893,15.761,35.892,22.917,6.33408374679448,1490.0,,89.94278,88.45444,89.19998,48.96679,31.38004,40.16248,12.7649536647009,8.90170727094545,10.8528418132462,17.586750000000002,3.863246393755452,113.194436030098,117.410036395189,68.1460800170898,49.9718399047852,12.7649536647009,8.90170727094545,18.174240112304602,-4.215600365090992,3.8632463937554515,Sub-Saharan Africa,Lower middle income,,2018.0,,2012.0,0,0,,1,1,0.0,17.192266559864283,16.4914800453683,0.0,0.0,0.0,0.0,6.198348
LSO,2013,110.493088742815,57.7590713500977,10.4558385996916,7.048418865512506,2056504.0,31.2407460933407,29.988,46.979,31.0085012585662,15.926,34.629,23.291,1.79252555575545,1440.0,,87.38045,85.3819,86.3829,49.39943,31.91674,40.63024,12.1472403198182,8.73259443723475,10.4558385996916,17.48269,3.41464588258345,108.823758765274,112.152821265201,65.9366836547852,49.5584716796875,12.1472403198182,8.73259443723475,16.3782119750977,-3.329062499927005,3.41464588258345,Sub-Saharan Africa,Lower middle income,,2018.0,,2012.0,0,0,,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.362935
LSO,2014,107.843876685208,58.2575629391492,10.4168970963646,7.067778220040416,2080089.0,32.6404409096604,29.5,45.765,31.8046951165314,16.066,33.192,23.636,1.71054990545476,1330.0,,88.14449,86.57068,87.35942,49.5348,31.83446,40.64296,12.0933497104755,8.71152284309263,10.4168970963646,17.700339999999997,3.3818268673828698,106.049430871246,109.627653949641,66.7313219029994,49.7686980239057,12.0933497104755,8.71152284309263,16.962623879093698,-3.5782230783949984,3.3818268673828698,Sub-Saharan Africa,Lower middle income,,2018.0,,2012.0,0,0,,1,1,2.0,16.370115239972165,0.0,0.0,0.0,0.0,16.370115239972165,6.527522
LSO,2015,105.217264805575,59.3985096286536,9.72517754374624,7.022153493411392,2104611.0,34.0903875831861,29.178,44.538,32.7200279423191,16.223,31.772,23.997,3.12406678044546,1280.0,,89.06836,88.14467,88.60833,50.84718,32.95864,41.85947,11.5503523730611,7.87166472137021,9.72517754374624,17.88854,3.67868765169089,103.252749048631,107.169916402221,67.8270774378415,50.9619838244201,11.5503523730611,7.87166472137021,16.865093613421394,-3.9171673535900027,3.6786876516908906,Sub-Saharan Africa,Lower middle income,,2018.0,,2012.0,0,0,,1,1,3.0,13.860674518637111,0.0,0.0,0.0,0.0,0.0,6.692109
LSO,2016,104.249373647237,56.8386993408203,,6.900218791548676,2130422.0,35.5077950709441,28.932,43.449,33.4507487024023,16.138,30.506,24.045,3.60890731687714,1240.0,,91.07911,90.07054,90.57671,50.02598,32.73142,41.35206,,,,17.294559999999997,,102.281699448705,106.2051997142,65.0972290039062,48.5796508789062,,,16.517578124999993,-3.923500265495008,,Sub-Saharan Africa,Lower middle income,,2018.0,,2012.0,0,0,,1,1,4.0,10.346619960579892,9.093937241638516,0.0,0.0,10.010160564320094,0.0,6.856696
LSO,2017,105.559253372505,59.3586515505342,10.3130654092878,6.974821913442213,2157110.0,36.5283648068846,28.241,42.166,33.2733904167651,16.379,29.113,24.478,-3.13817493733471,1160.0,41.9,93.38934,93.23133,93.31062,,,,12.6036303540458,7.99330519307345,10.3130654092878,,4.61032516097235,103.503369842357,107.602670373612,68.1387518596821,50.58427669675,12.6036303540458,7.99330519307345,17.5544751629321,-4.099300531254997,4.61032516097235,Sub-Saharan Africa,Lower middle income,,2018.0,,2012.0,0,0,,1,1,5.0,10.810814095156667,7.377432110181995,0.0,0.0,10.533833752255074,0.0,7.021283
LSO,2018,96.0052004309251,,9.93844298033582,7.065319295622884,2183603.0,37.569092747415,27.361,40.891,33.5071429615874,16.614,27.765,24.887,-1.48063315848241,1250.0,,,,,,,,11.9503822035062,7.9027806079917,9.93844298033582,,4.0476015955145,94.1773885098053,97.8216864218079,,,11.9503822035062,7.9027806079917,,-3.6442979120025996,4.0476015955145,Sub-Saharan Africa,Lower middle income,,2018.0,,2012.0,0,0,,1,1,6.0,19.007074555808057,8.310229865605171,18.48370108301676,0.0,17.99692834144853,0.0,7.18587
LSO,2019,91.2787382569656,,,6.986619200876163,2209405.0,38.6040920446259,26.44,39.608,34.3744875603663,16.876,26.449,25.318,-1.41799383085205,1290.0,,,,,,,,,,,,,91.8835315939711,90.6777696841269,,,,,,1.205761909844199,,Sub-Saharan Africa,Lower middle income,,2018.0,,2012.0,0,0,,1,1,7.0,13.852795254888743,0.0,0.0,0.0,0.0,0.0,7.362815
LSO,2020,87.7447358699667,,,6.8228318023066405,2235727.0,39.6329305425532,25.628,38.507,33.2782880930265,18.385,25.182,28.218,-8.15595785459911,1170.0,,,,,,,,,,,,,86.5122794013451,88.969210608965,,,,,,-2.4569312076199026,,Sub-Saharan Africa,Lower middle income,,2018.0,,2012.0,0,0,,1,1,8.0,18.11515835279184,0.0,0.0,18.09213610024817,14.213580162832496,0.0,7.544117
LSO,2021,85.0366186011239,,,6.972218595515254,2261542.0,40.6551760851997,24.896,38.402,33.0245695560985,18.214,25.804,27.188,2.26670961833291,1190.0,,,,,,,,,,,,,84.1847408132425,85.8826859804299,,,,,,-1.6979451671873989,,Sub-Saharan Africa,Lower middle income,,2018.0,,2012.0,0,0,,1,1,9.0,15.159998290923612,0.0,0.0,0.0,15.159998290923612,0.0,7.7298837
LSO,2022,83.6343022439557,,,6.937436238303532,2286110.0,41.6703965165322,,39.293,33.087313528598,16.623,26.389,25.057,2.38778020186284,1270.0,,,,,,,,,,,,,82.2198115414885,85.038347646621,,,,,,-2.818536105132509,,Sub-Saharan Africa,Lower middle income,,2018.0,,2012.0,0,0,,1,1,10.0,13.12154342644479,0.0,0.0,0.0,13.12154342644479,0.0,7.7298837
