Country Code,year,avg_schooling_years,primary_enroll_gross_pct,secondary_enroll_gross_pct,tertiary_enroll_gross_pct,population_total,percent_urban,political_stability,log_gdp_pc_current_usd,join_year,treated,post_join,projects,usd_const_2021,log1p_usd_const_2021,share_amount_estimated
FIN,2005,12.59455,99.7841110229492,111.326103210449,91.9409408569336,5246096.0,68.5140529517604,1.59494686126709,10.57262044382923,,0,0,0.0,0.0,0.0,0.0
FIN,2006,12.64892,99.7659530639648,110.277038574219,93.4309921264648,5266268.0,68.7588279849327,1.50111103057861,10.626558002321818,,0,0,0.0,0.0,0.0,0.0
FIN,2007,12.69778,99.6621475219727,109.042900085449,95.0834808349609,5288720.0,69.0200377316963,1.48869705200195,10.78878334600709,,0,0,0.0,0.0,0.0,0.0
FIN,2008,12.7557,99.7198715209961,108.298301696777,95.8668518066406,5313399.0,69.2943672196361,1.44586837291718,10.892479759499862,,0,0,0.0,0.0,0.0,0.0
FIN,2009,12.80424,99.664192199707,107.702293395996,92.0154724121094,5338871.0,69.546259966947,1.45967149734497,10.768050148779295,,0,0,0.0,0.0,0.0,0.0
FIN,2010,12.85547,99.6880569458008,108.609390258789,93.1867599487305,5363352.0,69.7855798796947,1.42360687255859,10.747364394370637,,0,0,0.0,0.0,0.0,0.0
FIN,2011,12.90178,99.7851867675781,109.248931884766,93.2884292602539,5388272.0,70.0583261874252,1.39347100257874,10.840782625809272,,0,0,0.0,0.0,0.0,0.0
FIN,2012,12.74987,99.7071228027344,109.962677001953,91.5533828735352,5413971.0,70.3661363168712,1.40076518058777,10.769593303703251,,0,0,0.0,0.0,0.0,0.0
FIN,2013,12.62611,99.6918487548828,145.653442382812,91.2365264892578,5438972.0,70.6742118159277,1.38517248630524,10.813599525534965,,0,0,0.0,0.0,0.0,0.0
FIN,2014,12.67839,99.6617202758789,147.413314819336,89.9938812255859,5461512.0,70.9879168940753,1.28219723701477,10.821272688863257,,0,0,0.0,0.0,0.0,0.0
FIN,2015,12.714,99.5672302246094,150.819213867188,89.6573791503906,5479531.0,71.3054930040604,1.02799820899963,10.658701741859431,,0,0,0.0,0.0,0.0,0.0
FIN,2016,,99.5080413818359,152.471435546875,89.3280029296875,5495303.0,71.6158383428171,0.982591867446899,10.679418056715113,,0,0,0.0,0.0,0.0,0.0
FIN,2017,12.82413,99.4682083129883,153.583709716797,90.6983871459961,5508214.0,71.9563038312956,1.06380820274353,10.738264874385273,,0,0,0.0,0.0,0.0,0.0
FIN,2018,,99.7032012939453,153.651428222656,92.3850021362305,5515525.0,72.3423467740343,0.891889691352844,10.81285939809398,,0,0,0.0,0.0,0.0,0.0
FIN,2019,,99.5557479858398,144.613204956055,94.5891189575195,5521606.0,72.7431214358314,0.835258841514587,10.786411364497775,,0,0,0.0,0.0,0.0,0.0
FIN,2020,,99.8175811767578,143.122909545898,96.4726333618164,5529543.0,73.0849439791673,0.981825113296509,10.796093699657831,,0,0,0.0,0.0,0.0,0.0
FIN,2021,,99.353630065918,143.361343383789,100.868072509766,5541017.0,73.3710215780329,0.963275969028473,10.879934752236489,,0,0,0.0,0.0,0.0,0.0
FJI,2000,,100.265716552734,75.6572799682617,,840909.0,48.0649880871211,0.301403164863586,7.599261469670711,2018.0,1,0,1.0,19248.4254659646,9.865236493346616,0.0
