Country Code,year,birth_rate_crude_per_1000
SMR,2001,12.82
STP,2001,39.965
SAU,2001,25.528
SEN,2001,38.858
SRB,2001,10.5
SYC,2001,17.7
SLE,2001,44.013
SGP,2001,11.8
SXM,2001,16.315
SVK,2001,9.5
SVN,2001,8.8
SLB,2001,35.116
SOM,2001,50.374
ZAF,2001,21.266
SSD,2001,48.921
ESP,2001,9.9
LKA,2001,18.95
KNA,2001,17.282
LCA,2001,18.034
MAF,2001,25.597
VCT,2001,18.91
SDN,2001,40.65
SUR,2001,25.357
SWE,2001,10.3
CHE,2001,10.0
SYR,2001,30.744
TJK,2001,29.267
TZA,2001,41.398
THA,2001,14.665
TLS,2001,38.039
TGO,2001,37.903
TON,2001,29.364
TTO,2001,14.731
TUN,2001,16.227
TUR,2001,20.593
TKM,2001,23.207
TCA,2001,21.896
TUV,2001,25.597
UGA,2001,47.915
UKR,2001,7.779
ARE,2001,15.978
GBR,2001,11.3
USA,2001,14.1
URY,2001,15.695
UZB,2001,21.097
VUT,2001,32.279
VEN,2001,23.599
VNM,2001,18.123
VIR,2001,13.1
PSE,2001,40.2
YEM,2001,40.164
ZMB,2001,44.774
ZWE,2001,36.463
AFE,2001,40.7403683554937
AFW,2001,43.2253020846609
ARB,2001,29.1135988170212
CSS,2001,19.5772228017598
CEB,2001,9.43689219382705
EAR,2001,27.1125217472736
EAS,2001,15.3108908637532
EAP,2001,15.9302029150157
TEA,2001,15.9175905779861
EMU,2001,10.3762887164229
ECS,2001,11.5236462125264
ECA,2001,15.8395805200332
TEC,2001,12.5215215966904
EUU,2001,10.2182025178045
FCS,2001,37.7804450997776
HPC,2001,42.998797688778
HIC,2001,11.5749545757299
IBD,2001,19.6674142487044
IBT,2001,23.7023780416114
IDB,2001,38.2869842199961
IDX,2001,37.3996336547442
IDA,2001,37.7088450900426
LTE,2001,14.2768529672207
LCN,2001,21.7080301027148
LAC,2001,21.939137310136
TLA,2001,21.9720331720367
LDC,2001,38.7739028215021
LMY,2001,24.037796291489
LIC,2001,42.0989070791954
LMC,2001,29.6831192275753
MEA,2001,29.0498427330156
MNA,2001,29.4894638677324
TMN,2001,29.4211820581789
MIC,2001,22.7249313671482
NAC,2001,13.7759553642615
INX,2001,
OED,2001,13.4677547651817
OSS,2001,21.805609485409
PSS,2001,29.1674677910219
PST,2001,11.3031330790406
PRE,2001,43.5838771894355
SST,2001,22.2018937686007
SAS,2001,27.3386728544524
TSA,2001,27.3386728544524
SSF,2001,41.7448034716433
SSA,2001,41.3903057907081
TSS,2001,41.7448034716433
UMC,2001,16.4029773282095
WLD,2001,21.7504841875624
AFG,2002,47.488
ALB,2002,15.585
DZA,2002,19.096
ASM,2002,28.465
AND,2002,10.728
AGO,2002,46.666
ATG,2002,17.106
ARG,2002,18.702
ARM,2002,10.1
ABW,2002,13.337
AUS,2002,12.8
AUT,2002,9.7
AZE,2002,13.5
BHS,2002,16.299
BHR,2002,19.147
BGD,2002,28.526
BRB,2002,14.219
BLR,2002,8.9
BEL,2002,10.9
BLZ,2002,28.691
BEN,2002,41.48
BMU,2002,12.635
BTN,2002,22.657
BOL,2002,28.53
BIH,2002,10.11
BWA,2002,27.647
BRA,2002,18.49
VGB,2002,9.746
BRN,2002,18.685
BGR,2002,8.5
BFA,2002,44.483
BDI,2002,44.042
CPV,2002,25.701
KHM,2002,27.528
CMR,2002,40.8
CAN,2002,10.5
CYM,2002,15.025
CAF,2002,41.407
TCD,2002,50.473
CHI,2002,10.8
CHL,2002,15.249
CHN,2002,12.86
COL,2002,21.352
COM,2002,34.744
COD,2002,44.559
COG,2002,37.316
CRI,2002,18.188
CIV,2002,43.4
HRV,2002,9.0
CUB,2002,12.534
CUW,2002,15.248
CYP,2002,11.611
CZE,2002,9.1
DNK,2002,11.9
DJI,2002,33.006
DMA,2002,16.187
DOM,2002,24.385
ECU,2002,24.655
EGY,2002,27.076
SLV,2002,24.406
GNQ,2002,40.174
ERI,2002,37.081
EST,2002,9.4
SWZ,2002,32.247
ETH,2002,44.264
FRO,2002,15.1
FJI,2002,24.339
FIN,2002,10.7
FRA,2002,12.9
PYF,2002,19.973
GAB,2002,33.076
GMB,2002,40.027
GEO,2002,12.206
DEU,2002,8.7
GHA,2002,35.223
GIB,2002,11.162
GRC,2002,9.5
GRL,2002,16.9
GRD,2002,17.207
GUM,2002,19.807
GTM,2002,33.267
GIN,2002,40.56
GNB,2002,41.564
GUY,2002,23.763
HTI,2002,30.572
HND,2002,32.375
HKG,2002,7.1
HUN,2002,9.5
ISL,2002,14.1
IND,2002,26.538
IDN,2002,21.107
IRN,2002,15.947
IRQ,2002,34.791
IRL,2002,15.4
IMN,2002,12.164
ISR,2002,21.2
ITA,2002,9.4
JAM,2002,19.43
JPN,2002,9.2
JOR,2002,28.479
KAZ,2002,16.423
KEN,2002,39.938
KIR,2002,29.414
PRK,2002,16.05
KOR,2002,10.3
XKX,2002,19.037
KWT,2002,22.253
KGZ,2002,20.2
LAO,2002,31.18
LVA,2002,8.7
LBN,2002,20.624
LSO,2002,29.365
LBR,2002,42.001
LBY,2002,22.497
LIE,2002,11.7
LTU,2002,8.6
LUX,2002,12.0
MAC,2002,7.2
MDG,2002,40.202
MWI,2002,43.955
MYS,2002,20.089
MDV,2002,18.666
MLI,2002,47.348
MLT,2002,9.9
MHL,2002,37.611
MRT,2002,37.855
MUS,2002,16.6
MEX,2002,23.379
FSM,2002,30.474
MDA,2002,11.683
MCO,2002,11.341
MNG,2002,19.424
MNE,2002,13.9
MAR,2002,21.6
MOZ,2002,42.473
MMR,2002,22.892
NAM,2002,29.636
NRU,2002,27.752
NPL,2002,28.641
NLD,2002,12.5
NCL,2002,19.529
NZL,2002,13.67
NIC,2002,26.28
NER,2002,52.581
NGA,2002,43.822
MKD,2002,13.7
MNP,2002,21.196
NOR,2002,12.2
OMN,2002,22.832
PAK,2002,34.883
