Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cabo Verde,CPV,27.862,26.762,25.701,24.746,23.943,22.797,21.612,20.583,19.857,19.504,20.42,20.578,19.108,18.401,18.079,17.459,17.32,16.8,15.451,14.288,13.142,12.569
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cambodia,KHM,28.466,28.11,27.528,26.88,26.261,26.104,26.127,26.209,25.88,25.625,25.036,24.631,24.578,24.56,24.403,24.218,23.956,23.655,23.372,22.988,22.409,21.905
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cameroon,CMR,40.878,40.669,40.8,41.074,41.275,41.319,41.115,40.897,40.665,40.359,39.837,39.217,38.651,38.076,37.548,37.719,37.775,37.516,36.899,36.183,35.438,34.778
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Canada,CAN,10.7,10.8,10.5,10.6,10.6,10.7,11,11.3,11.5,11.4,11.2,11,11,10.9,10.9,10.7,10.6,10.3,10.1,9.9,9.5,9.7
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cayman Islands,CYM,15.444,15.211,15.025,14.916,14.875,14.777,14.739,14.803,14.915,15.015,14.69,14.099,13.072,12.215,11.241,10.64,10.296,10.175,10.584,12.435,12.716,12.581
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Central African Republic,CAF,42.058,41.95,41.407,41.704,41.558,41.775,42.193,42.192,42.457,43.644,44.961,45.314,45.147,44.657,44.647,43.338,43.391,43.742,43.838,44.108,44.475,45.226
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Chad,TCD,51.589,51.241,50.473,50.028,50.375,50.672,50.303,50.107,49.53,49.257,48.979,48.49,48.177,47.429,47.052,46.51,45.533,44.917,44.401,44.316,43.75,43.284
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Channel Islands,CHI,11.4,11.1,10.8,10.9,10.7,10.2,10.2,10.5,10.5,10.5,10.5,10.5,10.3,10.1,9.8,9.5,9.2,8.8,8.5,8.3,8.2,8.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Chile,CHL,16.322,15.914,15.249,14.789,14.415,14.23,13.995,14.194,14.353,14.363,14.23,14.017,13.776,13.622,13.473,13.147,12.685,11.763,11.698,10.94,10.097,9.07
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,China,CHN,14.03,13.38,12.86,12.41,12.29,12.4,12.09,12.1,12.14,11.95,11.9,13.27,14.57,13.03,13.83,11.99,13.57,12.64,10.86,10.41,8.52,7.52
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Colombia,COL,22.258,21.722,21.352,20.928,20.278,19.579,18.965,18.552,18.191,17.656,16.93,16.321,15.986,15.63,15.258,14.764,14.271,14.177,14.195,14.218,14.106,13.947
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Comoros,COM,35.359,35.089,34.744,34.459,34.333,34.445,34.3,34.137,34.099,34.279,34.437,34.512,34.241,33.856,33.322,32.78,32.093,31.35,30.91,30.447,29.985,29.498
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Congo, Dem. Rep.",COD,45.298,44.977,44.559,44.155,43.781,43.728,43.973,43.961,44.011,44.032,43.92,43.981,43.95,43.69,43.505,43.236,42.875,42.976,42.887,42.549,42.19,41.937
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Congo, Rep.",COG,36.164,37.087,37.316,36.955,37.113,37.033,37.097,37.217,38,38.009,38.911,38.403,37.82,36.824,35.819,34.932,34.093,33.413,32.784,32.183,31.741,31.377
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Costa Rica,CRI,20.237,19.408,18.188,17.572,17.136,17.253,16.429,16.604,16.806,16.525,15.407,15.759,15.461,14.77,14.848,14.704,14.184,13.812,13.622,12.661,11.366,10.543
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cote d'Ivoire,CIV,44.278,43.902,43.4,42.802,42.276,41.927,41.441,40.961,40.474,40.745,40.936,40.846,40.688,40.451,39.841,38.768,37.742,36.58,35.081,34.306,33.651,33.081
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Croatia,HRV,9.8,9.2,9,8.9,9.1,9.563,9.33,9.4,9.9,10.1,9.8,9.6,9.8,9.4,9.3,8.9,9,8.9,9,8.9,8.9,9.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cuba,CUB,12.857,12.424,12.534,12.114,11.262,10.619,9.874,10.021,10.911,11.536,11.428,11.771,11.241,11.156,10.873,10.938,10.299,10.115,10.172,9.668,9.257,8.814
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Curacao,CUW,16.479,16.374,15.248,14.452,13.791,13.391,13.6,13.4,13.8,13,13.6,13.1,13.4,12.7,12.6,11.9,11.2,9.7,10.5,10.1,8.7,8.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cyprus,CYP,12.493,12.045,11.611,11.751,11.894,11.702,12.023,11.633,11.987,12.07,11.844,11.344,11.609,11.027,11.141,11.242,11.505,11.158,11.029,11.014,11.142,11.236
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Czechia,CZE,8.9,8.9,9.1,9.2,9.6,10,10.3,11.1,11.5,11.3,11.2,10.4,10.3,10.2,10.4,10.5,10.7,10.8,10.7,10.5,10.3,10.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Denmark,DNK,12.6,12.2,11.9,12,12,11.9,12,11.7,11.8,11.4,11.4,10.6,10.4,10,10.1,10.2,10.8,10.6,10.6,10.5,10.4,10.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Djibouti,DJI,33.459,33.267,33.006,32.678,31.601,30.568,29.391,28.485,27.554,26.905,26.291,25.657,25.061,24.592,24.094,23.567,23.061,22.703,22.313,21.913,21.578,21.308
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Dominica,DMA,17.923,18.017,16.187,15.605,15.239,15.019,15.546,15.12,14.668,14.252,13.986,13.719,13.87,13.294,13.684,13.106,12.922,11.813,11.636,11.512,11.404,11.251
