Series Name,Series Code,Country Name,Country Code,1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Belize,BLZ,..,67.5892868041992,68.04931640625,..,..,..,66.8856582641602,69.6441192626953,71.5002288818359,..,77.1278610229492,79.1648864746094,76.4672164916992,77.7098617553711,77.4540634155273,77.7610168457031,77.4153671264648,78.3641404805915,78.6071233872433,80.2218941529101,82.749944824542,82.7300117898782,82.8789389276581,88.9483912761822,87.3819122314453,88.364140080516,88.4514778969396,87.8505494505495,90.1186996190982,89.0278593037432,84.5732792044884,87.4232987312572,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Benin,BEN,..,..,..,..,..,..,12.1437301635742,12.5444002151489,13.908769607544,15.1186399459839,15.833459854126,17.0808696746826,..,..,..,..,..,..,35.1887283325195,..,41.857421875,43.0372085571289,46.0378799438477,47.7052116394043,..,..,..,39.4178810119629,40.2546501159668,40.2818489074707,..,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Bermuda,BMU,..,..,..,..,..,..,..,..,90.8878479003906,90.6635818481445,92.7162399291992,95.5397262573242,93.513313293457,87.4717788696289,..,..,..,97.601318359375,96.2374572753906,94.1572113037109,92.5261001586914,91.6382293701172,92.7939910888672,..,..,..,..,..,..,..,79.9730606079102,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Bhutan,BTN,..,..,..,..,..,20.7445507049561,23.9160003662109,27.6800708770752,31.5314197540283,..,..,..,42.8833503723145,45.8921585083008,50.2554206848145,54.2678604125977,61.660530090332,67.4368286132812,72.9664916992188,79.2052764892578,84.4945220947266,92.2578125,92.4895401000977,93.3539505004883,93.6836013793945,94.7654841059746,97.6848520202403,97.5008417517849,100.878047817838,98.562791614893,94.91450020137,94.0369291275477,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Bolivia,BOL,..,..,..,..,..,..,..,70.1280364990234,73.2119827270508,78.0644607543945,80.8071975708008,83.8102722167969,85.2724075317383,84.9520263671875,84.8977508544922,84.6359786987305,83.5469284057617,87.5005794020571,85.4463613535963,86.9054153516049,88.5871712557106,89.1304081626405,89.9740673277194,89.7963617272291,88.5199336270253,87.8603570044998,88.0304372690611,88.4047972829548,90.1926069467688,90.3370506966397,91.2883197233107,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.0863876342773,86.2433471679688,88.1162567138672,86.8139724731445,89.1719207763672,92.2725219726562,94.078239440918,92.1992111206055,87.665657043457,85.0680236816406,85.6158828735352,87.8049774169922,87.5772018432617,87.7414093017578,87.8970108032227,89.2550964355469,90.4367218017578,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Botswana,BWA,57.5072288513184,54.4827613830566,60.5756988525391,..,..,76.1465835571289,76.3357315063477,77.4799728393555,76.1001892089844,77.1014633178711,77.884407043457,79.5718383789062,80.3644027709961,83.5707702636719,84.5229568481445,81.0781402587891,..,..,..,..,..,..,..,..,..,..,..,..,74.0652465820312,..,..,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.9080200195312,107.282928466797,106.121192932129,103.753479003906,104.766120910645,104.605270385742,106.633720397949,106.028106689453,106.519920349121,110.227439880371,108.78392791748,..,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,British Virgin Islands,VGB,..,96.2536010742188,..,..,..,..,93.2717666625977,98.7146530151367,98.8943481445312,92.8406524658203,98.5393295288086,98.6696166992188,112.334800720215,114.175819396973,113.267539978027,..,106.144073486328,106.113990783691,97.9529170931423,97.4103585657371,98.6381322957199,99.0403071017274,99.1428571428571,98.3240223463687,91.5360501567398,67.0731707317073,71.2076583210604,71.6428571428571,71.9810040705563,70.318733215332,67.6392572944297,73.7792587280273,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Brunei Darussalam,BRN,87.4543914794922,86.1651916503906,..,..,..,87.6283798217773,89.6137924194336,87.9611587524414,89.8383865356445,91.2054824829102,92.2724304199219,94.7744827270508,97.0742797851562,100.890647888184,101.234901428223,101.119102478027,102.777656555176,103.281120300293,103.50959777832,107.718727111816,105.909843444824,98.996940612793,95.8460998535156,93.33837890625,91.7844619750977,92.0042572021484,91.2721405029297,89.4443214522913,91.2275165667403,91.5901157449936,93.2725572697522,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Bulgaria,BGR,..,..,..,..,..,..,..,78.9478607177734,79.96337890625,83.0525436401367,87.1275329589844,88.8367919921875,89.5286712646484,90.6530914306641,91.317008972168,90.9007110595703,90.9566192626953,92.1725463867188,94.100212097168,93.2204132080078,97.8538284301758,102.488342285156,101.624610900879,100.93839263916,101.615371704102,102.039916992188,101.704620361328,100.332641601562,97.4684524536133,95.5302886962891,94.6070022583008,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Burkina Faso,BFA,..,5.70515012741089,..,..,..,..,7.05679988861084,7.76679992675781,7.95838022232056,..,9.13255977630615,10.11203956604,11.0454902648926,11.844220161438,12.869119644165,15.2496795654297,16.4878997802734,18.2026272062904,20.1504937591634,22.4369517647316,25.1246647585712,27.3772509415436,31.3499100869596,33.8377858408122,36.4337512769058,39.4315297671845,40.517531621348,40.2090461523707,40.1334643135395,36.1300743115017,33.6455886002101,33.2389182465594,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Burundi,BDI,4.72990989685059,..,..,..,..,..,..,..,..,..,8.93451976776123,10.1669101715088,11.0440502166748,12.2075300216675,12.8603200912476,..,17.5529193878174,19.8866806030273,22.7597904205322,25.6550006866455,30.7229452018777,37.6532236992696,42.5848131340896,47.4670778135604,49.4867506946943,48.9246508069948,44.8293939228029,49.2576387332398,..,..,..,..,..
