Series Name,Series Code,Country Name,Country Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Mauritius,MUS,25.434,25.49,25.397,25.448,22.146,24.039,24.702,24.41,23.113,24.81,23.522,24.07,23.1,23.691,23.712,22.757,22.529,22.076,24.558,24.865,24.455,26.706,24.607,20.977,18.553,18.348,27.783,27.814,27.454
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Mexico,MEX,32.742,34.069,34.177,33.983,32.273,30.011,29.435,28.725,31.531,32.169,32.229,31.174,29.664,29.8,29.742,30.36,29.55,28.641,28.504,28.543,28.385,28.573,29.816,26.191,29.813,30.07,31.516,31.77,31.738
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Moldova,MDA,27.978,27.736,27.51,28.352,26.546,26.45,22.265,20.998,20.052,27.567,25.683,28.087,30.931,37.954,39.466,39.21,40.726,42.864,44.994,42.461,39.399,34.888,37.341,33.655,35.535,33.939,33.477,33.763,33.874
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Mongolia,MNG,34.441,34.201,34.02,34.03,33.836,33.463,32.717,31.404,30.432,29.345,28.607,26.575,25.756,23.394,24.55,24.69,23.479,22.153,21.201,17.318,17.05,18.183,24.958,24.606,19.067,24.018,17.425,17.385,17.132
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Montenegro,MNE,6.168,6.025,6.26,6.158,6.104,6.112,6.035,5.907,5.777,7.993,10.148,10.727,10.289,10.082,10.173,12.855,12.168,15.755,17.639,19.268,18.568,20.571,23.504,14.934,16.435,24.74,28.417,29.607,29.71
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Morocco,MAR,18.795,18.649,18.406,18.237,18.088,17.83,18.015,18.324,18.346,18.388,18.655,18.003,17.348,16.18,15.31,14.117,14.135,14.842,13.587,11.81,11.481,11.126,10.81,9.254,9.545,9.917,10.001,10.002,9.958
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Mozambique,MOZ,79.564,78.702,77.675,76.45,75.261,73.97,72.72,71.548,70.378,69.262,68.098,66.935,65.706,64.502,63.306,62.126,60.905,59.683,58.433,58.392,58.3,58.222,58.177,57.002,57.616,56.663,56.854,56.733,56.672
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Myanmar,MMR,73.334,72.74,71.54,70.022,68.779,67.438,65.87,64.326,62.754,61.2,59.752,58.473,57.142,55.949,55.305,54.415,53.368,52.351,51.486,46.82,42.228,42.216,40.053,36.736,35.168,35.614,35.589,35.541,35.647
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Namibia,NAM,15.051,15.423,15.812,16.17,15.538,15,14.445,14.199,14.233,14.418,14.32,14.416,14.299,14.387,15.66,16.988,17.978,17.579,17.232,16.573,16.414,16.253,16.275,14.003,14.798,15.991,16.219,16.237,15.77
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Nepal,NPL,13.891,13.948,14.042,14.161,14.313,14.438,14.568,14.724,14.891,15.021,15.152,15.357,15.618,15.929,16.185,16.313,16.301,16.305,16.366,16.305,16.061,15.735,15.412,14.451,14.988,14.938,14.884,14.717,14.713
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Netherlands,NLD,74.61,75.44,76.215,77.96,78.707,77.994,76.223,74.886,72.926,73.595,74.367,75.448,74.163,72.248,73.246,72.935,71.218,68.941,71.893,72.361,73.919,75.61,76.457,73.813,74.103,75.276,76.165,76.178,76.209
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,New Caledonia,NCL,20.164,20.446,20.781,21.007,21.569,21.899,22.189,22.459,22.942,23.272,23.637,24.096,24.492,24.286,24.331,24.419,24.374,24.462,23.485,22.486,21.541,20.471,21.076,18.477,21.372,22.011,21.796,21.617,20.92
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,New Zealand,NZL,55.201,53.402,51.572,52.153,52.64,53.435,53.131,52.508,53.129,55.069,55.641,53.559,48.649,47.709,47.692,46.873,47.274,49.184,50.834,51.675,52.867,55.923,56.018,53.992,57.719,61.114,60.79,56.483,56.608
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Nicaragua,NIC,22.314,22.495,22.838,23.173,23.492,23.723,24.021,24.222,25.776,26.57,26.863,26.082,25.24,25.794,26.879,28.041,28.2,28.055,28.013,28.691,29.076,27.201,26.541,25.394,25.921,27.766,28.293,28.372,28.406
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Niger,NER,54.559,54.776,55.038,55.326,55.601,55.498,55.452,55.345,55.342,56.194,56.997,57.71,58.365,58.923,59.338,53.88,52.807,51.723,51.293,50.867,50.434,50.006,49.574,54.075,59.554,64.972,64.717,65.054,64.358
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Nigeria,NGA,74.998,74.181,73.223,71.711,70.627,69.631,68.354,67.085,65.508,63.551,61.904,60.763,61.468,60.365,60.392,59.691,58.747,58.395,57.84,56.787,55.344,54.39,53.365,50.849,52.522,55.712,60.742,60.753,60.818
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,North Macedonia,MKD,10.118,11.174,12.763,11.84,12.616,11.714,9.963,9.94,10.497,11.296,11.378,11.893,10.65,10.122,10.762,12.665,13.357,11.364,14.285,11.839,12.072,12.824,15.846,14.36,12.509,12.689,12.994,17.069,16.854
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Norway,NOR,57.343,58.041,58.039,57.697,57.405,56.653,57.019,56.506,58.032,58.731,59.791,59.888,58.387,56.832,56.742,58.207,57.835,56.159,56.361,54.59,53.639,54.431,55.107,54.752,55.038,59.929,59.279,59.033,58.266
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Oman,OMN,20.537,20.481,20.441,20.391,20.379,20.257,19.954,19.068,18.291,17.584,16.866,16.179,15.323,14.382,13.393,12.529,11.767,10.978,10.196,9.502,10.354,11.24,11.025,9.189,11.358,10.357,10.104,9.938,9.891
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Pakistan,PAK,14.121,14.168,12.182,10.311,12.504,14.902,15.452,15.997,16.49,16.986,16.941,17.383,18.665,19.363,19.003,18.695,18.789,19.321,18.758,19.043,18.058,17.116,18.474,18.051,19.171,19.653,19.733,19.478,19.458
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Panama,PAN,28.864,29.282,29.881,29.288,28.649,28.081,29.028,28.32,28.93,27.325,26.827,27.306,27.978,25.945,25.02,27.429,29.531,27.933,25.882,26.48,26.739,27.002,27.491,23.974,21.014,25.575,26.14,26.921,27.285
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Papua New Guinea,PNG,36.269,37.25,37.439,38.249,38.786,39.296,39.518,39.651,39.317,39.083,38.539,39.015,38.574,37.714,37.301,36.509,35.807,34.02,33.031,32.174,31.518,31.309,30.554,29.588,29.363,28.789,28.733,28.689,28.471
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Paraguay,PRY,39.588,41.343,40.742,38.116,39.528,35.667,34.356,37.86,37.827,37.522,35.169,38.267,41.091,36.999,38.408,40.918,41.268,35.76,35.493,38.362,36.937,38,37.789,33.632,38.232,37.512,38.457,38.737,39.837
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Peru,PER,52.03,50.733,52.678,50.311,48.224,49.775,51.297,51.228,52.42,54.918,57.385,58.507,58.953,59.756,58.189,57.267,56.933,54.613,52.143,51.321,53.089,52.652,53.332,43.913,48.414,50.819,47.467,46.427,46.558
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Philippines,PHL,29.779,30.035,29.903,29.668,29.636,29.62,29.448,29.119,29.571,28.879,28.763,27.637,28.109,28.218,29.264,28.912,28.288,28.936,28.085,27.495,25.136,25.108,24.975,21.366,21.278,23.181,22.965,22.825,22.67
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Poland,POL,23.705,24.599,21.681,21.991,20.156,18.097,17.156,17.097,18.218,21.236,22.74,24.007,23.501,22.471,20.499,20.141,19.708,21.508,21.47,23.945,25.405,27.153,27.94,24.237,22.905,23.43,25.076,26.123,26.222
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Portugal,PRT,32.586,38.686,37.464,35.2,36.557,36.704,34.471,31.969,30.805,30.68,30.151,30.347,29.157,25.997,24.512,21.155,20.296,22.122,21.718,22.508,24.341,25.306,25.56,21.545,19.751,22.959,26.684,25.628,26.151
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Puerto Rico (US),PRI,19.498,19.16,21.791,21.632,20.852,20.468,21.903,21.737,22.556,19.719,17.188,17.914,14.553,12.653,12.642,12.764,12.764,12.824,13.335,13.306,13.405,13.753,14.111,13.109,13.631,14.312,14.444,14.38,14.198
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Qatar,QAT,31.765,31.906,31.929,31.828,31.616,31.332,31.001,30.943,30.883,30.301,31.41,31.442,29.848,28.551,27.57,28.152,28.829,33.514,37.737,38.138,38.345,38.831,39.092,39.776,39.792,41.097,41.234,40.015,40.181
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Romania,ROU,20.972,21.879,22.431,22.055,21.047,19.093,19.444,18.85,18.666,17.737,17.592,17.139,14.953,16.809,16.828,16.482,15.613,15.132,16.209,14.434,17.464,17.166,16.397,16.892,16.037,14.249,13.708,14.754,14.755
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Russian Federation,RUS,30.496,27.183,30.243,30.907,29.675,30.708,29.019,28.953,29.792,29.431,30.809,31.756,31.063,30.399,31.136,29.778,30.317,29.411,28.043,27.5,26.106,25.238,25.052,23.577,23.598,22.141,23.048,24.146,24.084
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Rwanda,RWA,44.436,43.059,41.47,40.078,38.914,38.189,37.509,37.071,36.709,36.67,36.578,36.503,36.314,36.101,35.792,35.573,35.284,34.999,34.72,34.448,34.093,33.108,32.938,37.35,27.573,28.747,33.892,36.691,37.182
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Samoa,WSM,36.046,35.422,34.791,33.978,32.962,32.316,31.649,31.136,30.319,29.942,29.805,29.364,29.369,28.794,28.381,27.718,27.769,27.805,26.717,25.294,24.398,22.918,20.959,18.411,17.193,15.81,15.965,16.068,15.919
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sao Tome and Principe,STP,18.523,18.24,17.913,17.547,15.361,14.918,14.915,15.238,14.771,14.632,14.971,15.299,15.539,15.861,16.119,16.513,17.326,18.058,18.686,19.187,19.585,19.272,18.905,17.685,18.175,18.45,18.235,18.07,17.954
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Saudi Arabia,SAU,6.033,6.199,6.344,5.248,4.95,4.5,4.461,4.44,4.442,4.489,3.98,3.489,2.964,3.433,3.835,3.986,4.053,3.704,3.461,4.532,2.618,3.261,4.656,6.19,9.839,12.34,12.889,13.037,13.343
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Senegal,SEN,25.661,25.431,25.233,25.045,24.846,24.591,24.367,24.239,24.15,24.051,23.772,23.514,23.274,23.046,22.807,22.278,21.741,21.261,20.778,24.681,19.658,18.952,18.182,17.674,17.94,17.897,17.882,17.994,17.984
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Serbia,SRB,24.94,24.044,25.503,25.554,24.493,23.144,22.152,17.322,14.803,13.569,14.6,15.98,13.599,11.516,8.89,9.437,9.795,10.642,11.744,14.207,15.36,15.868,15.916,14.907,18.523,18.63,18.225,19.497,19.651
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sierra Leone,SLE,42.389,42.53,42.637,42.768,42.87,42.91,42.876,47.308,45.63,44.023,42.441,40.886,39.345,37.849,36.385,34.964,33.568,32.116,32.283,32.452,32.638,32.778,32.42,31.967,32.345,32.3,32.419,32.405,32.281
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Singapore,SGP,41.308,40.93,38.658,39.32,37.663,31.733,33.015,32.721,33.128,34.359,31.471,32.443,28.25,33.088,31.492,32.259,30.149,31.425,35.578,33.176,31.346,32.954,34.294,30.705,37.052,31.536,31.923,28.47,28.308
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Slovak Republic,SVK,32.74,32.123,29.01,28.176,26.548,25.247,25.349,24.584,22.973,22.346,24.088,21.438,18.613,17.299,15.009,15.939,16.211,17.94,18.016,18.197,21.124,20.55,17.835,16.538,15.542,15.785,17.578,17.318,17.477
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Slovenia,SVN,34.17,33.937,31.136,27.407,26.413,27.174,23.563,29.095,29.822,30.304,31.44,33.173,31.014,30.008,26.903,23.745,23.041,23.956,27.077,26.05,30.405,31.062,29.948,24.053,26.562,29.062,28.375,28.08,28.473
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Solomon Islands,SLB,69.028,69.098,69.396,71.062,71.972,72.393,72.12,71.693,71.239,70.966,70.723,70.254,70.118,69.875,69.894,70.398,70.611,70.846,71.045,70.85,70.902,70.974,71.058,70.172,70.822,69.519,69.448,69.344,69.457
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,"Somalia, Fed. Rep.",SOM,7.764,7.807,7.828,7.886,7.911,7.934,7.963,8.008,8.088,8.199,8.289,8.284,8.235,8.17,8.012,7.858,7.815,7.784,7.757,7.702,7.656,7.569,7.512,7.092,7.284,7.229,7.27,7.274,7.25
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,South Africa,ZAF,18.635,17.93,17.226,16.664,16.133,15.587,14.998,14.619,14.341,14.172,13.971,13.714,11.992,10.526,10.461,9.817,10.374,10.064,10.547,9.384,9.817,9.146,8.688,6.7,5.956,7.792,8.841,8.767,8.806
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,South Sudan,SSD,56.703,56.477,56.22,56.011,56.062,56.269,56.435,56.297,55.918,55.478,55.013,54.56,54.156,53.613,53.071,52.882,52.872,53.446,54.119,54.465,55.46,55.446,54.475,52.165,53.084,52.735,52.331,..,..
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Spain,ESP,20.041,21.03,23.68,26.723,27.343,27.79,28.805,29.261,32.97,34.642,34.102,32.563,26.711,24.414,21.953,18.36,16.339,16.049,17.275,17.226,19.777,20.583,20.159,16.558,18.947,21.195,22.15,22.74,23.093
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sri Lanka,LKA,19.711,28.245,23.588,21.555,20.911,18.906,18.328,17.37,16.985,19.296,19.012,19.262,18.268,18.894,17.607,17.571,17.511,16.555,18.443,16.603,18.279,14.615,15.648,12.834,11.503,13.034,13.026,13.096,13.205
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,St. Lucia,LCA,35.696,33.568,38.386,37.538,36.131,35.189,31.417,34.611,36.675,39.418,40.896,44.576,42.408,40.204,38.138,36.998,32.697,32.885,33.157,33.583,33.851,36.388,36.003,22.666,31.873,41.772,38.043,45.993,45.741
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,St. Vincent and the Grenadines,VCT,23.486,23.413,23.539,23.5,23.421,23.557,23.775,23.7,23.305,23.312,23.086,22.704,21.863,20.975,20.728,20.7,20.848,20.769,20.775,20.81,20.544,20.315,19.764,17.805,18.635,20.236,21.51,22.245,22.306
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sudan,SDN,18.301,17.856,17.415,16.922,16.532,16.153,15.764,15.374,14.993,14.621,14.258,13.884,13.747,12.661,11.526,11.189,10.878,10.525,10.145,9.66,9.092,8.522,8.002,7.206,6.989,6.674,..,..,..
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Suriname,SUR,9.305,7.191,5.286,6.141,7.093,8.11,9.172,10.322,11.019,11.737,12.473,13.261,14.071,16.4,15.155,16.669,17.434,18.293,21.561,17.787,17.901,18.234,18.281,14.959,16.048,16.863,17.238,17.5,17.384
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sweden,SWE,42.281,44.311,44.904,48.48,46.975,44.284,44.079,39.92,39.83,40.434,42.304,42.071,38.87,39.156,41.031,41.577,42.874,44.037,45.477,45.966,45.996,46.452,45.149,40.093,41.691,43.366,44.86,43.556,43.642
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Switzerland,CHE,62.328,59.08,65.414,63.4,63.211,65.424,62.313,61.098,58.827,62.029,59.704,61.238,62.353,61.524,62.536,60.935,61.182,61.68,62.579,63.167,62.357,62.587,61.559,59.401,59.501,60.186,59.929,59.137,58.676
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Syrian Arab Republic,SYR,13.844,12.515,13.646,13.306,11.638,12.34,13.01,11.085,9.322,7.725,6.097,5.465,5.418,5.018,5.496,4.597,4.361,4.41,4.598,4.739,4.811,4.819,4.767,3.896,4.308,4.396,4.232,4.083,3.998
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Tajikistan,TJK,36.105,35.854,36.044,36.295,36.593,36.602,36.769,33.813,30.837,27.955,25.508,22.806,20.329,18.864,17.444,16.072,14.746,13.476,12.258,11.104,10.551,9.981,9.473,9.346,9.609,9.704,9.775,9.833,9.754
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Tanzania,TZA,73.19,73.32,73.457,73.586,73.81,73.894,73.974,74.024,74.03,74.006,73.61,73.176,72.768,70.446,68.178,67.365,66.573,67.075,67.083,67.015,66.983,66.988,67.006,63.167,66.836,67.216,67.31,67.238,67.136
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Thailand,THA,54.335,48.007,45.038,45.744,44.149,43.8,42.432,43.241,43.399,38.244,40.124,38.614,38.188,37.626,38.048,37.6,34.346,33.591,33.109,32.708,31.684,32.404,31.566,31.187,30.013,30.573,32.324,31.543,31.535
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Timor-Leste,TLS,35.489,35.949,39.585,33.079,32.573,34.37,34.971,34.983,34.996,35.844,35.201,34.402,33.783,33.044,32.996,33.077,33.368,33.582,34.052,30.763,31.93,32.886,31.464,31.332,32.539,33.65,33.408,33.438,33.073
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Togo,TGO,27.811,27.516,27.242,26.977,26.862,26.752,26.67,26.566,26.463,26.325,26.568,26.863,27.151,27.495,27.818,27.673,27.493,27.28,27.04,26.616,26.165,26.635,27.11,26.609,26.703,27.063,27.216,27.257,27.253
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Tonga,TON,24.265,23.401,22.665,21.999,21.219,20.514,19.643,21.029,22.449,23.961,23.539,23.16,22.727,22.349,21.967,21.624,21.233,20.805,20.431,20.129,19.789,19.44,19.29,18.078,18.868,18.441,18.841,18.098,17.99
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Trinidad and Tobago,TTO,27.728,27.581,27.79,30.026,30.614,30.599,31.714,34.476,35.345,39.804,38.85,38.64,35.465,33.469,31.067,33.582,35.011,34.239,33.476,32.464,30.755,29.139,27.614,23.27,26.988,27.8,30.259,28.596,28.317
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Tunisia,TUN,19.347,18.892,18.381,17.956,17.566,16.911,16.15,15.534,15.379,14.477,15.087,14.932,13.364,13.571,11.248,13.188,13.342,11.851,11.408,12.798,12.039,14.343,15.975,12.198,11.39,10.72,9.451,9.382,9.373
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Turkiye,TUR,27.108,27.403,28.261,24.48,24.092,23.765,21.439,19.446,19.071,18.966,18.962,19.467,18.979,19.907,20.866,20.498,21.344,21.892,23.046,23.131,23.018,23.419,22.695,19.306,21.303,23.216,25.46,26.752,27.187
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Turkmenistan,TKM,41.609,40.209,37.891,37.824,37.678,38.152,38.216,38.225,37.268,36.414,35.691,34.367,34.143,33.176,31.723,30.717,29.83,29.014,28.617,28.26,27.876,27.534,27.184,25.379,25.993,26.548,26.365,26.549,26.304
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Uganda,UGA,50.505,50.559,50.602,50.635,50.705,50.722,50.515,51.487,52.392,51.979,51.504,51.003,50.349,50.16,63.542,48.151,72.207,58.183,56.826,55.473,54.064,54.022,53.984,56.945,61.722,62.391,62.501,62.528,62.596
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Ukraine,UKR,29.248,27.625,27.209,27.233,27.56,28.106,28.756,29.045,29.43,29.674,29.914,29.657,28.577,27.849,27.649,27.488,27.378,25.153,25.177,25.097,26.433,25.496,26.546,22.533,22.14,..,..,..,..
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,United Arab Emirates,ARE,22.336,22.854,23.384,23.933,24.069,24.175,24.245,24.356,24.4,24.728,25.06,25.458,25.77,26.184,26.63,27.086,27.502,27.885,28.3,28.697,29.374,32.235,26.338,24.774,23.5,22.928,23.468,23.268,23.38
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,United Kingdom,GBR,53.459,53.432,53.086,53.638,53.133,54.052,52.796,53.407,51.841,51.732,50.455,49.954,47.057,45.223,44.567,45.119,45.173,47.034,48.744,50.099,49.888,49.008,49.413,48.173,46.014,49.895,47.437,46.028,45.972
